lyrics_filename,mood,mood_cats,lyrics
Katatonia___I_Transpire,sad,1,"""I Transpire LyricsI\nCan't\nSay that I am free\nAs long as they return\nIf I\nHad\nA way out of here\nWould I then return?\nThey seldom will speak, no\nThey only breathe slow\nDo they know\nI'm afraid, so afraid?\nThey depend\nOn my worries so I know\nAnd I'm awake\nI'm right in the circle now\nI am with them\n\nThere is no way\nI am going to be free\nBecause their hearts\nThey are similar to mine\nThere is no way\nThey are going to release me\nFrom this chain\nOf rows unto our own hearts\n\nI\nCan't\nSay that I regret my promises\nI\nCan't\nSay that I regret behaving my enemies\nI seldom will speak, no\nI only breathe\nGhost\nYou might also likeDo they know\nI'm afraid, so afraid?\nThey depend\nOn my worries so I know\nAnd I'm awake\nI'm right in the circle now\nI am with them\n\nThere is no way\nI am going to be free\nBecause their hearts\nThey are similar to mine\nThere is no way\nThey are going to release me\nFrom this chain\nOf rows unto our own hearts1Embed"", 'default'"
Fountains_Of_Wayne___Peace_And_Love,happy,0,"""Peace and Love LyricsPeace and Love\nPeace and Love\nThat's all I'm thinkin of, baby\nPeace and Love\n\nPeace and Love\nPeace and Love\nThat's all I'm think of, baby\nPeace and Love\n\nRidin' around in a Volkswagon van\nThinkin' bout the people upside-down in Japan\nStarin' at the stars in a distant galaxy\nWonderin' if there's someone out there starin back at me\nSingin' Peace and Love Peace and Love\nPeace and Love Peace and Love\nThat's all I'm think of, baby\nPeace and Love\n\nPeace and Love Peace and Love\nPeace and Love Peace and Love\nThat's all I'm think of, baby\nPeace and Love\n\nLyin' on the floor just playin my guitar\nTryin' to find the chords for just the way you are\nPlane crash flashin on my TV\nWell it coulda been you, baby it coulda been me\n\nWe'll never live forever\nBut maybe things could be worse\nCause when we get together\nWe are one with the universe\n\nWoohoo Woohoo\n\nSometimes I think I might just move up to Vermont\nOpen up a bookstore or a vegan restaurant\nGot crazy karma never harmed a single soul\nSo if you wanna join me, then together we'll grow old\nYou might also likePeace and Love Peace and Love\nPeace and Love Peace and Love\nThat's all I'm think of, baby\nPeace and Love\n\nPeace and Love Peace and Love\nPeace and Love Peace and Love\nThat's all I'm think of, baby\nPeace and LoveEmbed"", 'default'"
Culture_Club___Church_Of_The_Poison_Mind,happy,0,"""Church of the Poison Mind  [Verse 1]\nDesolate loving in your eyes\nYou used an' made my life so sweet\nStep out like a God-found child\nI saw your eyes across the street\n\n[Pre-Chorus]\nWho would be the fool to take you\nBe more than just kind?\nStep into a life of maybe\nLove is hard to find\n[Chorus]\nIn the church of the poison mind\nIn the church of the poison mind\nIn the church of the poison mind\nIn the church of the poison mind\nIn the church of the poison mind\nIn the church of the poison mind\nIn the church of the poison\n\n[Verse 2]\nWatch me clinging to the beat\nI had to fight to make it mine\nThat religion, you could sink it neat\nJust move your feet an' you'll feel fine\n\n[Pre-Chorus]\nWho would be the fool to maybe\nTrick a kiss in time?\nWho am I to say that's crazy?\nLove will make you blind\n\n[Chorus]\nIn the church of the poison mind\nIn the church of the poison mind\nIn the church of the poison mind\nIn the church of the poison mind\nIn the church of the poison mind\nIn the church of the poison mind\nIn the church of the poison mind\nYou might also like[Bridge]\nAh, ah\nAh, ah\nAh, ah\nAh, ah\n\n[Harmonica Solo]\n\n[Verse 3]\nDesolate loving in your eyes\nYou used an' made my life so sweet\nStep out like a God-found child\nI saw your eyes across the street\n\n[Pre-Chorus]\nWho would be the fool to take you\nBe more than just kind?\nStep into a life of maybe\nLove is hard to find\n\n[Chorus]\nIn the church of the poison mind\nIn the church of the poison mind\nIn the church of the poison mind\nIn the church of the poison mind\nIn the church of the poison mind\nIn the church of the poison mind\nIn the church of the poison mind\nIn the church of the poison mind\nIn the church of the poison mind\nIn the church of the poison mind\nIn the church of the poison mind\nIn the church of the poison mind\nIn the church of the poison mind\nIn the church of the poison mind\nIn the church of the poison mind1"
Filter___Its_Gonna_Kill_Me,anger,3,"""It’s Gonna Kill Me Lyrics[Verse 1]\nThis girl's trying to kill me\nThis girl's trying to kill me\nShe's my favorite piece of plastic\nHeld to my ear\n\n[Pre-Chorus 1]\nWhere do I go?\nI don't know\nWhere to play?\nI don't know\nWhat do I say?\nWhatever you say, yeah\nYeah\n[Chorus]\nYeah, it's gonna kill me\nYeah, it's gonna kill me\n\n[Verse 2]\nAnd this girl's got a grip\nOh, where's mine?\nI spent the night walking home\nI spent the last night dreaming\nI spent the last night screaming\n\n[Pre-Chorus 2]\nWhat do you need?\nI don't know\nWhere do you stay?\nI don't know\nWhat do you mean?\nI don't know\nWhere do you go?\nI don't know\n\n[Chorus]\nYeah, it's gonna kill me\nYeah, it's gonna kill me\nYeah, it's gonna kill me\nYeah, it's gonna kill me\nYou might also like[Interlude]\nOh yeah\nHuh yeah\nAw yeah\nAw yeah\nAw yeah\nAw yeah\nAw yeah\n\n[Chorus]\nYeah, it's gonna kill me\nYeah, it's gonna kill me2Embed"", 'default'"
Consolidated___You_Suck,anger,3,"'You Suck LyricsI know you\'re really proud, \'cause you think you\'re well hung\nBut I think it\'s time you learn how to use your tongue\nYou say you want things to be even, and you want things to be fair\nBut you\'re afraid to get your teeth caught in my pubic hair\nIf you\'re lying there expecting me to suck your dick\nYou\'re going to have to give me more than just a token lick\nWell, you may not like it, but you better learn how\n\'Cause it\'s your turn now\n\nNow, you suck, suck it hard, go down, baby\nYou suck, lick it hard, and move your tongue around\nIf you\'re worried about babies, you can lower your risk\nBy giving me that special cunnilingus kiss\nIt\'s on your face that I\'m gonna sit\nYou can wiggle, you can jiggle your tongue on my clit\nDon\'t worry about making me have an orgasm\nJust take your time, and do it with enthusiasm\nI can tell it\'s making you scared just thinking of it\nBut you better learn to love it\n\nNow, you suck, suck it hard, go down, baby\nYou suck, lick it hard, and move your tongue around\nNow, you suck, suck it hard, go down, baby\nYou suck, lick it hard, and move your tongue around\n\nWhen you hear safe sex, snicker under your breath\nWe got to take cover, we\'re flirting with death\nAIDS is our problem, we\'ve got to talk\nBreak out your dental dam and your latex sock\nI\'m your latex lover wrapped like a gift\nGot my microwave plastic wrap heating up my clit - whoo!\nDinner\'s on, get busy with my booty\nGot a couple of flavors, sweet licorice and fruity\nI know you\'re sad, luscious pussy with a cover?\nI\'m aching, too, we can\'t taste each other\nThere\'s no slacking off with an unprotected stroke\nThis ain\'t no joke\nYou might also likeSisters, sisters, you\'ve got the power, use it\n{""You brought a condom, right?""\n""Huh?""\n""I\'m unprotected""\n""Ain\'t you on the pill?""}\n{""Oh, that was great and everything, but you know\nI think it\'s your turn to go down on me""\n""I\'m tired, I\'m tired""\n""What do you mean you\'re tired?""\n""Come on""\n""Baby, come on""\n""No, no, that\'s awful, oh, that tastes terrible""\n""You asshole, you shit""}\n\nWell, I know you think it\'s a real drag\nTo suck my cunt when I\'m on the rag\nQuit making up stories, yeah, give me a break\n\'Cause I really don\'t believe that you got a headache\nYou tell me it\'s gross to suck my yeast infection\nHow do you think I feel when I gag on your erection? Ugh\nYour wasting your tongue with lame excuses and lies\nGet your face between my thighs\n\nNow, you suck, suck it hard, go down, baby\nYou suck, lick it hard, and move your tongue around\nNow, you suck, suck it hard, go down, baby\nYou suck, lick it hard, and move your tongue around\nNow, you suckEmbed', 'default'"
Everything_But_The_Girl___Rollercoaster,calm,2,"""Rollercoaster Lyrics[Verse 1]\nI still haven't got over it even now\nI want to spend huge amounts of time on my own\nI don't want to cause any serious damage\nI want to make sure that I can manage\n\n[Refrain]\nBecause I'm not really in your head\nI'm not really in your head\n\n[Chorus]\nAnd I see love and disaffection\nAnd the clouds build up and won't pass over\nThis is my road to my redemption\nAnd my life is just an image of a rollercoaster anyway\n[Verse 2]\nI still haven't got over it even now\nI want to spend huge amounts of time in my room\nAnd I'm not coming out until I feel I'm ready\nI'm not running out while my heart's unsteady\n\n[Refrain]\nAnd I'm not really in your head\nI'm not really in your head\n\n[Chorus]\nWhen your sky falls to minus zero\nWell some things must disappear\nOh this is my road to my redemption\nAnd my life is just an image of a rollercoaster anyway\n\nAnd the names may have been changed but the faces are the same\nAnd the names may have been changed but as people we're not the same\n\n[Refrain]\nAnd I'm not, no I'm not, no I'm not\nReally in your head\n\n[Outro]\nAnd my life is just an image of a rollercoaster anyway\nYeah, my life is just an image of a rollercoaster anywayYou might also like1Embed"", 'default'"
Bobby_Vee___More_Than_I_Can_Say,happy,0,"""More Than I Can Say  Wo-oh yay yay\nLove you more than I can say\nI'll love you twice as much tomorrow\nWo-oh, love you more than I can say\n\nWo-oh yay yay\nI miss you every single day\nWhy must my life be filled with sorrow\nWo-oh, love you more than I can say\n\nDon't you know I need you so\nTell me please, I gotta know\nDo you mean to make me cry\nAm I just another guy\nWo-oh yay yay\nLove you more than I can say\nI'll love you twice as much tomorrow\nWo,oh, love you more than I can say\n\nDon't you know I need you so\nTell me please, I gotta know\nDo you mean to make me cry\nAm I just another guy\n\nWo-oh yay yay\nI love you more than I can say\nI'll love you twice as much tomorrow\nWo-oh, love you more than I can say"
Calvin_Harris___Vegas,calm,2,"""Vegas  [Verse 1]\nI've got my car and my ride and my wheels\nWhen I go to Vegas, well, that's right\nI've got my drugs and my stuff and my pills\nWhen I go to Vegas, well, alright\nI've got my girls and my boys and my girls\nWhen I go to Vegas, that's right\nI've got my car and my ride and my wheels\nWhen I go to Vegas\n\n[Verse 2]\nI've got my car and my ride and my wheels\nWhen I go to Vegas, well, that's right\nI've got my drugs and my stuff and my pills\nWhen I go to Vegas, well, alright\nI've got my girls and my boys and my girls\nWhen I go to Vegas, that's right\nI've got my car and my ride and my wheels\nWhen I go to Vegas\n[Bridge]\nI've got my car\nI've got my car\n\n[Verse 3]\nI've got my car and my ride and my wheels\nWhen I go to Vegas, well, that's right\nI've got my drugs and my stuff and my pills\nWhen I go to Vegas, well, alright\nI've got my girls and my boys and my girls\nWhen I go to Vegas, that's right\nI've got my car and my ride and my wheels\nWhen I go to Vegas\n\n[Verse 4]\nI've got my car and my ride and my wheels\nWhen I go to Vegas, well, that's right\nI've got my drugs and my stuff and my pills\nWhen I go to Vegas, well, alright\nI've got my girls and my boys and my girls\nWhen I go to Vegas, that's right\nI've got my car and my ride and my wheels\nWhen I go to Vegas\n\n[Outro]\nWhen I go to Vegas\nWhen I go to Vegas\nWhen I go to Vegas\nWhen I go to VegasSee Calvin Harris LiveGet tickets as low as $263"
Gojira___Flying_Whales,sad,1,"""TranslationsPortuguêsFlying Whales Lyrics[Verse 1]\nWaters of chaos have invaded all space\nThe flood on Earth again, I have to find the whales\nThat once did guide us to the dry lands of life\nI won't despair, I'll break this dark around\n\n[Chorus 1]\nUnder heavy sea\nI'll search the flight of whales\n\n[Verse 2]\nBeneath the seas, I searched and had a different view\nOf us on Earth, the sinking ship of men\nBut it's beyond the stars, I found the place where\nThey were, and they finally came to light\n[Chorus 2]\nOver the winds\nThey dwell in light\nLike the arrow in the sky\nI found myself on higher grounds from up here\nFor I see them all the ways in flight\n\n[Bridge]\nNow I can see the whales\nLooming out of the dark\nLike arrows in the sky\nI can't believe my eyes, but it's true\n\n[Verse 3]\nHuge tunnel ends in light\nLike banks of clouds, they gather\nSee massive shape of flesh\nSwimming giants in the clear\nThe mightiest comes to me\nI'm on the wing, wide open\nThey teach me how to fly\nSlowly moving in the air\n\n[Breakdown]\nSo much told with no words at all\nPowerful presence for only speech\nBreath\nSee Gojira LiveGet tickets as low as $62You might also like[Chorus 3]\nOver the winds\nThey dwell in light\nFly22Embed"", 'default'"
Golden_Earring___Twilight_Zone,calm,2,"'Twilight Zone LyricsSomewhere in a lonely hotel room\nThere\'s a guy starting to realize\nThat his eternal fate has turned its back on him\nIt\'s two A.M\n\nIt\'s two A.M., the fear has gone\nI\'m sitting here waitin\', the gun still warm\nMaybe my connection is tired of takin\' chances\nYeah, there\'s a storm on the loose, sirens in my head\nWrapped up in silence, all circuits are dead\nCannot decode, my whole life spins into a frenzy\nHelp, I\'m steppin\' into the Twilight Zone\nPlace is a madhouse, feels like being cloned\nMy beacon\'s been moved under moon and star\nWhere am I to go now that I\'ve gone too far?\n\nHelp, I\'m steppin\' into the Twilight Zone\nPlace is a madhouse, feels like being cloned\nMy beacon\'s been moved under moon and star\nWhere am I to go now that I\'ve gone too far?\nSoon you will come to know\nWhen the bullet hits the bone\nSoon you will come to know\nWhen the bullet hits the bone\n\nI\'m falling down the spiral destination unknown\nDouble crossed messenger all alone\nCan\'t get no connection, can\'t get through\nWhere are you?\n\nWell the night weighs heavy on his guilty mind\nThis far from the borderline\nWhen the hitman comes\nHe knows damn well he has been cheated\n\nAnd he says, ""Help, I\'m steppin\' into the Twilight Zone\nPlace is a madhouse, feels like being cloned\nMy beacon\'s been moved under moon and star\nWhere am I to go now that I\'ve gone too far?""\nYou might also likeHelp, I\'m steppin\' into the Twilight Zone\nPlace is a madhouse, feels like being cloned\nMy beacon\'s been moved under moon and star\nWhere am I to go now that I\'ve gone too far?\n\nSoon you will come to know\nWhen the bullet hits the bone\nSoon you will come to know\nWhen the bullet hits the bone\n\nWhen the bullet hits the bone\n\nHelp, I\'m steppin\' into the Twilight Zone\nPlace is a madhouse, feels like being cloned\nMy beacon\'s been moved under moon and star\nWhere am I to go now that I\'ve gone too far?\n\nHelp, I\'m steppin\' into the Twilight Zone\nPlace is a madhouse, feels like being cloned\nMy beacon\'s been moved under moon and star\nWhere am I to go now that I\'ve gone too far?\n\nSoon you will come to know\nWhen the bullet hits the bone\nSoon you will come to know\nWhen the bullet hits the bone\nSoon you will come to know\nWhen the bullet hits the bone\nSoon you will come to know\nWhen the bullet hits the bone\n\nWhen the bullet hits the bone, a ha\nWhen the bullet hits the bone\nWhen the bullet hits the bone, a ha\nWhen the bullet hits the bone\n\nWhen the bullet hits the bone, a ha\nWhen the bullet hits the bone\nWhen the bullet hits the bone, a ha\nWhen the bullet hits the bone6Embed', 'default'"
