iter	TotalF1:average=Macro	MultiClass
0	0.5962974701	1.36300883
1	0.6327439648	1.339562298
2	0.6448507658	1.317586807
3	0.6592209577	1.300813401
4	0.6632449718	1.280681254
5	0.6669761752	1.263404649
6	0.671366386	1.246481456
7	0.6736162081	1.230117183
8	0.6737891391	1.21463329
9	0.6747381262	1.199754549
10	0.6773484059	1.185880719
11	0.6729562915	1.17184635
12	0.674342167	1.157819968
13	0.6812263567	1.143715389
14	0.6873501182	1.131326239
15	0.6911012518	1.119430563
16	0.6930880135	1.107061838
17	0.6933338349	1.097414172
18	0.6949236371	1.086091412
19	0.6946541371	1.076625251
20	0.695490864	1.067286134
21	0.696720531	1.057620595
22	0.6966217525	1.047911776
23	0.699432315	1.038950503
24	0.7002410164	1.029731859
25	0.7030674906	1.020411018
26	0.701615863	1.012525856
27	0.7030097813	1.00386993
28	0.7013535409	0.9965904571
29	0.706575217	0.987941788
30	0.708703667	0.9801966213
31	0.7096753014	0.9718603257
32	0.7095744429	0.9646609881
33	0.7138978199	0.9580146069
34	0.7119457404	0.950709286
35	0.713639856	0.9429200157
36	0.7139136304	0.9360336021
37	0.7134070486	0.9297737536
38	0.7142712982	0.9238325266
39	0.7175130941	0.9174632367
40	0.7193239718	0.9123048976
41	0.7190405819	0.9068513039
42	0.7193701752	0.9002371102
43	0.7208537608	0.8953736548
44	0.7204317922	0.8908149377
45	0.7217490324	0.8856472902
46	0.7199305736	0.8799997026
47	0.7233018313	0.874294125
48	0.7233368891	0.8695603253
49	0.7229746188	0.8652695906
50	0.7230661119	0.860682105
51	0.7246948383	0.8554520431
52	0.7264366377	0.8511619452
53	0.7264697921	0.8462528889
54	0.7260766223	0.842097919
55	0.7273587591	0.8372978475
56	0.7284853118	0.8328601096
57	0.7294936621	0.8290837323
58	0.7302039003	0.8247477308
59	0.730853581	0.8206621553
60	0.7324266995	0.8167558046
61	0.7342150668	0.8133121665
62	0.7349803677	0.8095965209
63	0.7360330738	0.8060258096
64	0.7379159202	0.8019578182
65	0.7370566929	0.7985172126
66	0.7377466391	0.7946496244
67	0.7379170906	0.79153071
68	0.738218939	0.7882257845
69	0.7402207592	0.7843922936
70	0.7429727664	0.7813150791
71	0.7438817162	0.7777670442
72	0.7437308827	0.7744762351
73	0.7449870829	0.7710539138
74	0.7454518574	0.7679372253
75	0.7458872855	0.7649088995
76	0.7457232504	0.7613943058
77	0.7465520335	0.7578014185
78	0.7469463431	0.7551506259
79	0.7494023267	0.7515842613
80	0.7480867249	0.748943892
81	0.7500187881	0.7464495845
82	0.7500331622	0.7441644425
83	0.7501744188	0.7413991131
84	0.7512644316	0.7387609011
85	0.7517107028	0.7364594067
86	0.7538327713	0.7332787321
87	0.75493981	0.7308964571
88	0.7556241171	0.7282123994
89	0.7557141951	0.7261267657
90	0.7568250979	0.723798905
91	0.7580076199	0.7216396521
92	0.7587313309	0.7193958374
93	0.7588884464	0.7169308752
94	0.7613174454	0.714665952
95	0.7612459837	0.7123182017
96	0.7599431196	0.7100391223
97	0.7595725545	0.7078528997
98	0.7607410104	0.705599954
99	0.7618732632	0.7037818425
100	0.7631556262	0.7013641877
101	0.7628619211	0.6991936038
102	0.7638217181	0.697192166
103	0.7650944041	0.6949191581
104	0.7654527758	0.6930939983
105	0.7659388108	0.6914894583
106	0.7660145728	0.6892437578
107	0.767334884	0.6868460781
108	0.7665247142	0.6850375998
109	0.7675349967	0.6827134392
110	0.7683442209	0.6799892372
111	0.7691594554	0.67844634
112	0.7699258731	0.6765748857
113	0.7707591774	0.6748406623
114	0.7711289717	0.6731978156
115	0.7714168124	0.6713852727
116	0.7732283913	0.6695705292
117	0.7740906228	0.6674984446
118	0.7750555587	0.665832747
119	0.7754302409	0.6643062583
120	0.7744518678	0.6624728574
121	0.7751110941	0.6603974132
122	0.7767307422	0.6583238416
123	0.7774162074	0.6566594749
124	0.7787292457	0.6550090686
125	0.7787696767	0.6536437014
126	0.779448062	0.6525119494
127	0.7794704316	0.6507485201
128	0.7795340901	0.6487137099
129	0.7802895069	0.6473793113
130	0.7805004151	0.6453919086
131	0.7819030615	0.6436973
132	0.7827913651	0.6423250106
133	0.782463215	0.6411228864
134	0.783028845	0.6394175375
135	0.7829061232	0.6377198406
136	0.7832038954	0.6361162832
137	0.7831545419	0.6346436402
138	0.7839832926	0.6329818663
139	0.7846957501	0.6316199843
140	0.7852496666	0.6302443301
141	0.7863679207	0.628709888
142	0.7870862099	0.6273911272
143	0.7868453106	0.6261144877
144	0.7859844496	0.6244104095
145	0.7870859265	0.6232162547
146	0.7882690708	0.6219581473
147	0.7878454568	0.6204564026
148	0.788653791	0.6193823673
149	0.7890044647	0.6179230126
150	0.7892585215	0.6169734341
151	0.7911945124	0.6157120278
152	0.7916821738	0.6141758485
153	0.7915825897	0.6130694134
154	0.7922491144	0.6117031853
155	0.792341687	0.6106104118
156	0.7920294917	0.6094529358
157	0.7920526285	0.6079589905
158	0.7926194143	0.6071512415
159	0.7936093811	0.6062732467
160	0.7941534633	0.6053580546
161	0.794360994	0.603889809
162	0.7943932744	0.6026031072
163	0.7959546966	0.600966669
164	0.795559575	0.5996388652
165	0.7976465899	0.5987631319
166	0.7974498216	0.5978262284
167	0.7982970943	0.5969957247
168	0.7991930781	0.5958869033
169	0.7979929539	0.5946691759
170	0.7986097512	0.5934818994
171	0.799951121	0.5923956517
172	0.8000122368	0.5914205973
173	0.800088052	0.5900670687
174	0.8002677027	0.5885826889
175	0.8010562529	0.5876980553
176	0.8016328265	0.5865928045
177	0.8014689578	0.585622494
178	0.8011241094	0.5848722429
179	0.8026264492	0.5841674647
180	0.8018396072	0.5835056228
181	0.8018464499	0.5826915542
182	0.8025771172	0.5814262073
183	0.8040494971	0.5802689768
184	0.8049196283	0.5796505186
185	0.8051794214	0.5784065503
186	0.8054944643	0.5775313467
187	0.8058659295	0.5764998067
188	0.8063555847	0.5755623736
189	0.8068366072	0.57479658
190	0.8070448374	0.5740900474
191	0.8073202447	0.573041581
192	0.8074911484	0.5719742329
193	0.8085461136	0.5712222372
194	0.8097915777	0.5699891506
195	0.8099706121	0.5692105543
196	0.8103304756	0.5681378246
197	0.8095406314	0.5673685249
198	0.8112321268	0.5664754342
199	0.8120809377	0.5652619745
200	0.8130480606	0.564521758
201	0.8127025365	0.5632082603
202	0.8129327447	0.5620520465
203	0.8136825012	0.5610369968
204	0.814550726	0.5601774402
205	0.8152182808	0.5591407956
206	0.8145882179	0.5582878749
207	0.8158782145	0.5572578292
208	0.8152536908	0.5560944976
209	0.8154696542	0.5549658555
210	0.8147494642	0.5541682742
211	0.8150755159	0.5530436271
212	0.8147561734	0.5522548857
213	0.8151702088	0.5515262059
214	0.8148514743	0.5508563426
215	0.8159363478	0.5500919935
216	0.816941379	0.5493957873
217	0.8176356894	0.5486639641
218	0.8180855763	0.5478571568
219	0.819098266	0.5470815356
220	0.8187774164	0.5463314356
221	0.8187622795	0.5452885204
222	0.8186975576	0.5445209623
223	0.8190407897	0.5436533939
224	0.8200242882	0.5429325434
225	0.8200622771	0.5422809491
226	0.8204656222	0.5414773782
227	0.820300439	0.5403764645
228	0.8212845725	0.5394680051
229	0.8221846132	0.5386742907
230	0.8224782089	0.5379054854
231	0.8224732396	0.5373531878
232	0.8226288728	0.536527193
233	0.8230292806	0.5357314436
234	0.8235505474	0.5350472338
235	0.8239905248	0.53410249
236	0.8241796505	0.533374279
237	0.8250689127	0.532655076
238	0.8245803235	0.531486129
239	0.8252896767	0.5308147529
240	0.826078815	0.5300346836
241	0.8256287742	0.529477428
242	0.8266626978	0.5285521656
243	0.8263292478	0.5276174334
244	0.8267507042	0.526999755
245	0.8267700455	0.5262621321
246	0.8272150353	0.5255541844
247	0.8270532537	0.5250501145
248	0.8267501539	0.5244702307
249	0.8274131492	0.523865016
250	0.8279566197	0.5232493148
251	0.8277678393	0.5225482297
252	0.8289224802	0.5216569976
253	0.8285819849	0.5209635027
254	0.8280769969	0.5203154629
255	0.8284515153	0.5197858667
256	0.8289204334	0.5189370522
257	0.8290939819	0.5182527365
258	0.8289070438	0.5175506062
259	0.8292568098	0.517004109
260	0.8295504675	0.516108043
261	0.8293620737	0.5155567202
262	0.8295374007	0.514628914
263	0.8300703738	0.5139726281
264	0.830237019	0.5132673086
265	0.8306085588	0.5125026045
266	0.8312119765	0.5117507945
267	0.8312189246	0.5112414056
268	0.8303892116	0.5107379443
269	0.8307118811	0.5102991513
270	0.8305819158	0.5097320543
271	0.830774456	0.509166648
272	0.8316099028	0.5086518612
273	0.8316175863	0.5080472594
274	0.8316813573	0.5071706535
275	0.8314751372	0.5065506795
276	0.8316490223	0.5059658802
277	0.832124053	0.5052011777
278	0.832618644	0.5045889029
279	0.8326794187	0.5041342083
280	0.8325040508	0.5035623844
281	0.8331561951	0.5030313458
282	0.8329472092	0.5026556116
283	0.8334643922	0.5019084777
284	0.8334561354	0.5015509345
285	0.8341218691	0.5010800049
286	0.8344712588	0.500410963
287	0.8351326916	0.499791439
288	0.8354834201	0.499281763
289	0.8351108593	0.4984113904
290	0.8359492456	0.497783834
291	0.8357890011	0.497276609
292	0.835251414	0.4966520366
293	0.8362397096	0.4958653372
294	0.8362767355	0.4951994627
295	0.8364344611	0.4946870672
296	0.8359839571	0.4941614986
297	0.8366067943	0.4935464924
298	0.8370834865	0.4927406412
299	0.8377830016	0.4919248023
300	0.8385560053	0.4913817398
301	0.8385603797	0.4908150697
302	0.8385523546	0.4904193641
303	0.8397495284	0.4896393021
304	0.8388930611	0.4891439644
305	0.8400555749	0.4884303699
306	0.8396029777	0.4879147696
307	0.8399432661	0.487283999
308	0.8402751961	0.4866137284
309	0.8407332465	0.4859663471
310	0.8415054098	0.4853492465
311	0.8406205488	0.4848009551
312	0.8412179713	0.4843724527
313	0.841219641	0.4838968884
314	0.8423042292	0.4833113436
315	0.842703524	0.482669852
316	0.8423828213	0.4820737296
317	0.8434042184	0.4815566965
318	0.8430484491	0.480941542
319	0.8434881357	0.4804893945
320	0.8440379052	0.4798076722
321	0.8427021108	0.4793276301
322	0.8431829444	0.478837267
323	0.8443154025	0.4782828014
324	0.8451540616	0.4777710335
325	0.8456795921	0.4768760199
326	0.8461566175	0.4763212346
327	0.8459988429	0.4758924991
328	0.8461395112	0.4755027074
329	0.8461334245	0.4746045049
330	0.8458136435	0.4742482705
331	0.8461587158	0.4737825544
332	0.8466532155	0.4732789245
333	0.8467731758	0.4727457296
334	0.846771051	0.4722006836
335	0.8471163274	0.4717678716
336	0.8469187697	0.4714415544
337	0.8471140458	0.470774999
338	0.8477769674	0.4701842515
339	0.8483033459	0.4696447593
340	0.8485137898	0.4688897348
341	0.8488430406	0.4684203504
342	0.8490021671	0.4679020257
343	0.8481712465	0.4675418724
344	0.849100611	0.4670727882
345	0.8494748583	0.4667569637
346	0.8497868967	0.4662591305
347	0.8497867167	0.4659601472
348	0.8502706838	0.465304968
349	0.8505991275	0.4647181065
350	0.8498198196	0.4641527135
351	0.8503455253	0.4635217373
352	0.8509999817	0.4631270746
353	0.8516606259	0.4625181087
354	0.8519690938	0.4620457846
355	0.8514601084	0.4615744162
356	0.8519326828	0.4611850774
357	0.8515994076	0.4607399217
358	0.8515998657	0.4602109223
359	0.8516082297	0.4596278399
360	0.8522321265	0.4591435812
361	0.8528710287	0.4586560523
362	0.8525573143	0.4582078136
363	0.8532030968	0.4577868754
364	0.8533773068	0.4573523004
365	0.8529183462	0.4567287215
366	0.8532176058	0.4561146343
367	0.8538495419	0.4554223053
368	0.8548805417	0.4548192129
369	0.8550346201	0.4541405596
370	0.8557196704	0.4535976633
371	0.855544749	0.4531297764
372	0.8552101988	0.4525175279
373	0.8560369018	0.4521052268
374	0.8563332654	0.4514565263
375	0.8561777258	0.4509525454
376	0.8563740887	0.4503733472
377	0.856711045	0.4497879305
378	0.8567136101	0.4494324928
379	0.8563781489	0.4488173727
380	0.8568705074	0.4482072386
381	0.8571846551	0.4476822568
382	0.8573467014	0.4472056437
