iter	Passed	Remaining
0	28	69977
1	43	54947
2	61	51043
3	78	49037
4	95	47544
5	111	46402
6	130	46531
7	157	49077
8	187	51878
9	205	51245
10	248	56225
11	278	57718
12	309	59216
13	382	67893
14	424	70242
15	464	72038
16	492	71989
17	518	71447
18	537	70138
19	552	68537
20	568	67144
21	584	65784
22	602	64871
23	618	63761
24	632	62572
25	644	61330
26	658	60350
27	674	59559
28	689	58741
29	702	57855
30	725	57811
31	750	57854
32	763	57053
33	777	56401
34	796	56112
35	810	55489
36	829	55197
37	845	54769
38	860	54328
39	877	53992
40	890	53416
41	906	53046
42	923	52781
43	936	52250
44	948	51736
45	961	51311
46	974	50869
47	986	50404
48	999	50008
49	1015	49781
50	1028	49369
51	1039	48956
52	1052	48582
53	1064	48237
54	1077	47890
55	1089	47551
56	1101	47226
57	1114	46926
58	1126	46601
59	1138	46286
60	1151	46024
61	1209	47567
62	1232	47676
63	1246	47426
64	1261	47270
65	1279	47193
66	1294	47021
67	1313	46965
68	1329	46824
69	1342	46603
70	1358	46467
71	1371	46233
72	1383	45999
73	1395	45746
74	1407	45504
75	1419	45277
76	1431	45048
77	1444	44845
78	1457	44674
79	1471	44506
80	1483	44301
81	1495	44101
82	1507	43894
83	1520	43732
84	1533	43560
85	1546	43414
86	1575	43688
87	1586	43487
88	1598	43302
89	1609	43108
90	1621	42924
91	1634	42779
92	1646	42625
93	1660	42499
94	1676	42429
95	1688	42291
96	1700	42138
97	1714	42012
98	1726	41869
99	1739	41746
100	1751	41609
101	1771	41656
102	1784	41517
103	1798	41430
104	1810	41300
105	1822	41151
106	1835	41049
107	1847	40915
108	1859	40785
109	1871	40662
110	1883	40546
111	1896	40442
112	1910	40358
113	1925	40291
114	1937	40179
115	1950	40082
116	1962	39973
117	1975	39874
118	1990	39834
119	2004	39760
120	2017	39674
121	2030	39570
122	2043	39486
123	2059	39462
124	2077	39469
125	2094	39461
126	2118	39576
127	2136	39586
128	2155	39619
129	2172	39604
130	2189	39597
131	2210	39649
132	2229	39678
133	2252	39765
134	2270	39774
135	2288	39780
136	2303	39738
137	2318	39688
138	2338	39726
139	2359	39769
140	2383	39872
141	2401	39881
142	2417	39843
143	2435	39842
144	2455	39888
145	2472	39870
146	2488	39830
147	2502	39776
148	2517	39723
149	2531	39665
150	2547	39635
151	2561	39574
152	2575	39513
153	2591	39477
154	2603	39386
155	2615	39294
156	2627	39209
157	2639	39119
158	2650	39029
159	2662	38941
160	2675	38866
161	2688	38802
162	2708	38836
163	2723	38797
164	2737	38734
165	2749	38664
166	2764	38625
167	2778	38569
168	2790	38486
169	2803	38423
170	2819	38406
171	2833	38344
172	2845	38268
173	2857	38196
174	2869	38118
175	2881	38053
176	2896	38020
177	2908	37946
178	2921	37877
179	2934	37817
180	2946	37751
181	2957	37673
182	2970	37613
183	2982	37538
184	2994	37469
185	3006	37407
186	3021	37367
187	3033	37300
188	3045	37242
189	3057	37171
190	3069	37105
191	3081	37039
192	3093	36972
193	3104	36904
194	3118	36866
195	3130	36798
196	3142	36733
197	3153	36661
198	3165	36602
199	3177	36546
200	3192	36517
201	3205	36466
202	3220	36441
203	3248	36566
204	3276	36680
205	3298	36731
206	3317	36745
207	3334	36739
208	3353	36764
209	3368	36729
210	3382	36691
211	3398	36674
212	3424	36765
213	3442	36776
214	3456	36733
215	3470	36694
216	3483	36653
217	3502	36662
218	3520	36664
219	3536	36647
220	3549	36605
221	3563	36568
222	3576	36522
223	3588	36461
224	3600	36401
225	3612	36347
226	3624	36295
227	3637	36250
228	3649	36196
229	3663	36157
230	3675	36105
231	3688	36060
232	3707	36077
233	3722	36044
234	3735	36000
235	3748	35961
236	3764	35950
237	3778	35909
238	3792	35877
239	3804	35821
240	3816	35771
241	3828	35725
242	3842	35685
243	3855	35651
244	3870	35619
245	3884	35592
246	3896	35546
247	3908	35491
248	3920	35441
249	3932	35391
250	3944	35343
251	3956	35292
252	3968	35247
253	3980	35197
254	3993	35154
255	4005	35114
256	4022	35109
257	4034	35057
258	4045	35007
259	4058	34963
260	4070	34918
261	4082	34868
262	4095	34832
263	4107	34786
264	4118	34736
265	4130	34688
266	4141	34640
267	4154	34597
268	4165	34550
269	4177	34502
270	4188	34454
271	4200	34403
272	4211	34358
273	4226	34335
274	4241	34319
275	4261	34336
276	4276	34323
277	4290	34294
278	4303	34259
279	4322	34272
280	4334	34230
281	4346	34185
282	4357	34139
283	4369	34093
284	4380	34045
285	4391	33999
286	4404	33960
287	4418	33934
288	4432	33907
289	4444	33873
290	4458	33842
291	4469	33799
292	4481	33759
293	4494	33725
294	4506	33684
295	4518	33645
296	4530	33606
297	4542	33563
298	4555	33530
299	4567	33491
300	4579	33453
301	4591	33417
302	4602	33374
303	4614	33336
304	4626	33294
305	4638	33256
306	4650	33219
307	4664	33200
308	4678	33172
309	4691	33145
310	4704	33114
311	4717	33081
312	4729	33043
313	4741	33010
314	4758	33009
315	4772	32987
316	4788	32977
317	4801	32946
318	4814	32918
319	4826	32883
320	4838	32844
321	4850	32805
322	4861	32766
323	4872	32727
324	4885	32696
325	4902	32690
326	4914	32660
327	4926	32624
328	4939	32596
329	4951	32556
330	4962	32518
331	4974	32482
332	4986	32447
333	4997	32410
334	5010	32378
335	5024	32361
336	5037	32333
337	5050	32304
338	5077	32370
339	5143	32674
340	5193	32883
341	5230	33006
342	5338	33569
343	5371	33666
344	5405	33767
345	5425	33776
346	5441	33762
347	5463	33788
348	5492	33851
349	5518	33899
350	5547	33964
351	5569	33989
352	5587	33982
353	5607	33991
354	5629	34013
355	5662	34103
356	5692	34169
357	5716	34203
358	5739	34227
359	5762	34254
360	5789	34305
361	5813	34336
362	5832	34334
363	5852	34343
364	5875	34370
365	5898	34392
366	5937	34506
367	5984	34670
368	6016	34747
369	6036	34751
370	6062	34791
371	6085	34813
372	6110	34846
373	6124	34817
374	6141	34802
375	6158	34788
376	6182	34812
377	6198	34796
378	6221	34819
379	6243	34830
380	6260	34821
381	6277	34805
382	6293	34784
383	6308	34763
384	6325	34750
385	6343	34742
386	6361	34733
387	6380	34729
388	6395	34705
389	6409	34677
390	6429	34678
391	6447	34674
392	6469	34682
393	6490	34690
394	6509	34689
395	6529	34693
396	6551	34707
397	6571	34706
398	6587	34688
399	6605	34680
400	6630	34707
401	6648	34697
402	6672	34718
403	6690	34713
404	6707	34694
405	6730	34715
406	6748	34704
407	6767	34697
408	6789	34710
409	6806	34694
410	6821	34672
411	6839	34660
412	6857	34650
413	6874	34640
414	6892	34628
415	6910	34617
416	6926	34598
417	6943	34582
418	6960	34569
419	6975	34542
420	6990	34521
421	7005	34498
422	7019	34467
423	7035	34446
424	7050	34420
425	7067	34410
426	7081	34377
427	7101	34379
428	7116	34357
429	7133	34341
430	7152	34335
431	7166	34308
432	7181	34280
433	7197	34263
434	7226	34302
435	7266	34397
436	7326	34589
437	7370	34696
438	7396	34725
439	7422	34752
440	7446	34769
441	7464	34755
442	7481	34737
443	7496	34714
444	7514	34700
445	7528	34670
446	7541	34638
447	7554	34604
448	7571	34585
449	7587	34566
450	7601	34536
451	7619	34524
452	7638	34516
453	7661	34528
454	7677	34505
455	7690	34470
456	7705	34445
457	7721	34427
458	7741	34422
459	7756	34398
460	7770	34369
461	7784	34340
462	7799	34314
463	7812	34281
464	7825	34248
465	7839	34217
466	7860	34220
467	7874	34191
468	7889	34163
469	7904	34141
470	7918	34113
471	7932	34081
472	7980	34200
473	8012	34246
474	8038	34269
475	8076	34341
476	8125	34460
477	8157	34508
478	8179	34510
479	8205	34532
480	8235	34567
481	8262	34594
482	8293	34635
483	8320	34658
484	8353	34704
485	8387	34759
486	8416	34789
487	8442	34808
488	8477	34864
489	8503	34879
490	8530	34903
491	8561	34943
492	8582	34939
493	8608	34956
494	8635	34976
495	8664	35007
496	8695	35044
497	8732	35106
498	8752	35098
499	8776	35107
500	8799	35111
501	8826	35131
502	8847	35124
503	8868	35120
504	8891	35127
505	8913	35126
506	8931	35109
507	8952	35103
508	8984	35144
509	9008	35151
510	9033	35161
511	9127	35440
512	9192	35606
513	9249	35739
514	9309	35880
515	9348	35943
516	9391	36022
517	9423	36056
518	9461	36115
519	9491	36142
520	9518	36155
521	9557	36217
522	9639	36436
523	9680	36505
524	9724	36584
525	9773	36677
526	9799	36687
527	9830	36714
528	9848	36695
529	9885	36742
530	9915	36768
531	9946	36795
532	9975	36812
533	9998	36810
534	10020	36802
535	10046	36813
536	10069	36808
537	10108	36863
538	10140	36894
539	10188	36980
540	10225	37027
541	10269	37098
542	10311	37163
543	10348	37209
544	10406	37329
545	10448	37392
546	10482	37427
547	10513	37450
548	10548	37487
549	10580	37511
550	10607	37521
